MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
,,,,
0.047586,0.095092,2.248865,-0.021554,0
0.149564,0.284569,3.81124,-0.748524,0
0.079454,0.000354,2.28075,-0.211198,0
0.069894,0.095092,2.21698,-0.30602,0
0.098575,6.53731,5.118533,-0.843346,0
0.047586,0.126672,1.802472,-0.179591,0
0.053959,0.063513,2.918454,-0.179591,0
0.031652,-0.315441,2.153209,-0.242806,0
0.079454,0.22141,1.993783,-0.242806,0
0.041212,0.22141,1.993783,-0.179591,0
0.06352,0.474046,2.185094,-0.021554,0
0.06352,0.347728,2.376406,0.073268,0
0.076267,0.284569,2.312635,0.041661,0
0.200553,-0.757554,3.173536,3.992586,0
0.095388,0.347728,2.089439,-0.179591,0
0.069894,0.031933,1.834357,-0.211198,0
0.098575,0.25299,2.21698,-0.116376,0
0.098575,0.22141,2.185094,-0.211198,0
0.092201,0.031933,2.248865,-0.211198,0
0.095388,0.031933,2.34452,0.800239,0
0.098575,0.25299,2.248865,-0.147983,0
0.124069,0.25299,2.089439,-0.179591,0
0.089014,2.337237,2.089439,-0.274413,0
0.079454,0.158251,2.185094,-0.179591,0
0.089014,0.189831,2.185094,-0.242806,0
0.082641,0.158251,2.121324,-0.211198,0
0.315278,0.821421,3.109765,6.710822,0
0.044399,0.126672,1.834357,-0.274413,0
0.022091,0.000354,1.961898,1.590424,0
0.044399,0.095092,1.993783,-0.211198,0
0.034839,0.379308,2.376406,0.041661,0
-0.048018,5.621505,1.993783,-0.590487,0
0.082641,0.316149,2.376406,0.073268,0
0.082641,0.284569,2.34452,0.010054,0
0.095388,0.158251,2.057554,-0.179591,0
0.108135,0.126672,2.408291,-0.716917,0
0.130443,0.22141,2.408291,0.010054,0
0.095388,0.284569,2.248865,-0.242806,0
0.235608,1.547749,4.895336,2.380609,0
0.098575,0.379308,2.025668,-0.43245,0
0.104948,0.189831,2.21698,-0.116376,0
0.401322,0.316149,2.567717,0.104876,0
0.127256,0.189831,2.153209,-0.242806,0
0.057146,0.063513,2.153209,-0.242806,0
0.06352,0.158251,2.089439,0.326128,0
0.060333,0.189831,2.121324,-0.179591,0
0.025278,0.095092,2.057554,0.610594,0
0.041212,0.158251,2.025668,-0.211198,0
0.277036,2.716191,2.28075,1.116313,0
0.034839,0.22141,2.153209,-0.211198,0
0.041212,0.505626,2.408291,0.104876,0
0.069894,0.410887,2.408291,0.073268,0
0.085828,0.25299,2.21698,-0.30602,0
0.108135,0.284569,2.34452,-0.084769,0
0.108135,0.22141,2.153209,-0.179591,0
0.124069,0.22141,2.312635,-0.274413,0
0.098575,0.126672,1.930013,-0.179591,0
0.117696,0.189831,2.153209,-0.274413,0
0.079454,0.031933,2.28075,-0.179591,0
0.076267,0.126672,2.121324,-0.464057,0
0.092201,0.25299,2.312635,-0.211198,0
0.124069,0.095092,2.121324,-0.179591,0
0.089014,0.095092,3.109765,-0.242806,0
0.076267,0.063513,6.617137,0.610594,0
-0.063952,-0.125964,1.770587,-0.43245,0
0.085828,0.189831,2.153209,-0.242806,0
0.076267,0.189831,2.025668,-0.274413,0
0.079454,0.189831,2.089439,-0.179591,0
0.009344,0.063513,2.089439,-0.274413,0
0.060333,0.095092,2.057554,-0.211198,0
0.104948,0.505626,2.440176,-0.021554,0
0.066707,5.368869,2.440176,-0.748524,0
