MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,
,,,,,,
0.092201,0.568785,2.089439,-0.179591,0,,
0.085828,0.537205,2.057554,-0.147983,0,,
0.069894,0.568785,1.706816,-0.116376,0,,
0.053959,1.200375,1.930013,-0.211198,0,,
0.047586,0.695103,2.057554,-0.147983,0,,
0.050773,0.947739,2.472061,0.104876,0,,84.949209
0.092201,0.821421,2.440176,0.136483,0,,
0.117696,0.789841,2.248865,0.073268,0,,
0.076267,1.295113,2.312635,0.073268,0,,
0.124069,0.568785,2.21698,-0.084769,0,,
0.146377,0.631944,2.21698,-0.242806,0,,
0.13363,0.600364,1.961898,-0.179591,0,,
0.07308,0.379308,2.121324,-0.369235,0,,
0.089014,0.347728,2.248865,-0.274413,0,,
0.124069,0.474046,2.121324,-0.30602,0,,
0.14319,0.631944,2.34452,-0.116376,0,,
0.152751,0.537205,2.121324,-0.147983,0,,
0.13363,0.568785,2.21698,-0.147983,0,,
0.108135,0.537205,2.185094,-0.084769,0,,
0.066707,0.600364,2.21698,-0.211198,0,,
0.082641,0.568785,2.089439,-0.211198,0,,
0.069894,0.568785,2.089439,-0.211198,0,,
0.076267,0.600364,1.930013,-0.211198,0,,
0.041212,0.568785,1.802472,-0.211198,0,,
0.057146,0.695103,2.153209,-0.147983,0,,
0.053959,0.88458,2.567717,0.010054,0,,
0.092201,0.789841,2.185094,0.010054,0,,
0.108135,0.821421,2.376406,0.073268,0,,
0.101762,0.789841,2.376406,0.041661,0,,
0.092201,0.568785,2.312635,-0.053161,0,,
0.092201,0.537205,2.21698,-0.084769,0,,
0.092201,0.600364,2.248865,-0.021554,0,,
0.127256,0.505626,2.121324,-0.30602,0,,
0.120883,0.568785,1.993783,-0.43245,0,,
0.092201,0.410887,1.738702,0.041661,0,,
0.108135,0.600364,2.248865,-0.084769,0,,
0.13363,0.568785,3.205421,-0.211198,0,,
0.13363,2.495134,5.214188,0.199698,0,,
0.085828,0.537205,2.21698,-0.147983,0,,
-0.019337,5.684664,1.961898,0.262913,0,,
0.066707,0.568785,2.057554,-0.242806,0,,
0.089014,0.600364,2.089439,-0.179591,0,,
0.630772,0.916159,2.503946,0.104876,0,,
0.050773,0.631944,1.961898,-0.179591,0,,
0.066707,3.41094,2.153209,-0.021554,0,,
0.050773,0.88458,2.376406,-0.053161,0,,
0.092201,0.853,2.376406,0.041661,0,,
0.114509,1.358272,2.153209,0.010054,0,,
0.13363,0.853,2.312635,0.010054,0,,
0.089014,0.600364,2.089439,-0.274413,0,,
0.082641,0.537205,2.21698,-0.179591,0,,
0.098575,0.505626,2.28075,-0.147983,0,,
0.092201,0.600364,2.089439,-0.274413,0,,
0.117696,0.474046,1.54739,-0.337628,0,,
0.120883,0.442467,2.057554,-0.211198,0,,
0.178245,0.537205,2.567717,0.168091,0,,
0.149564,0.568785,2.121324,-0.147983,0,,
0.130443,0.568785,2.153209,-0.527272,0,,
0.124069,1.51617,2.153209,-0.179591,0,,
0.108135,0.568785,2.312635,-0.211198,0,,
0.076267,0.663523,2.185094,-0.179591,0,,
0.053959,0.410887,2.21698,1.369172,0,,
0.07308,0.631944,1.993783,-0.147983,0,,
0.060333,0.695103,2.089439,-0.179591,0,,
0.047586,0.631944,2.025668,0.168091,0,,
0.07308,0.916159,2.472061,0.073268,0,,
0.07308,1.010898,2.312635,0.073268,0,,
0.124069,0.821421,2.025668,0.073268,0,,
0.120883,0.758262,2.248865,0.041661,0,,
0.089014,0.537205,2.121324,-0.179591,0,,
0.111322,0.600364,2.153209,-0.084769,0,,
0.092201,0.568785,2.472061,-0.084769,0,,
0.098575,0.568785,2.185094,-0.242806,0,,
0.111322,0.379308,1.961898,1.14792,0,,
0.216487,0.789841,2.408291,0.073268,0,,
0.385388,6.379413,1.41985,-1.823176,0,,
0.127256,0.568785,2.121324,-0.116376,0,,
0.124069,0.663523,2.153209,0.515772,0,,
0.178245,1.042477,2.185094,-0.179591,0,,
0.124069,0.600364,2.21698,-0.211198,0,,
0.053959,0.537205,2.312635,-0.147983,0,,
0.069894,0.600364,2.185094,-0.211198,0,,
0.079454,3.789894,2.153209,-0.179591,0,,
0.066707,0.631944,2.057554,-0.274413,0,,
0.044399,0.695103,2.057554,-0.43245,0,,
0.060333,0.916159,2.535832,0.104876,0,,
0.066707,0.789841,2.34452,0.073268,0,,
0.114509,0.853,2.34452,0.073268,0,,
0.130443,0.663523,2.248865,1.053098,0,,
0.13363,0.537205,2.025668,-0.179591,0,,
0.07308,0.474046,2.153209,-0.179591,0,,
0.108135,0.695103,2.34452,-0.211198,0,,
0.13363,0.600364,2.248865,-0.053161,0,,
0.136817,0.663523,2.153209,-0.211198,0,,
0.079454,0.568785,2.153209,-0.274413,0,,
0.07308,0.442467,5.915663,-0.116376,0,,
0.136817,0.568785,2.089439,-0.147983,0,,
0.140003,0.695103,2.185094,-0.242806,0,,
0.120883,0.537205,2.472061,-0.179591,0,,
0.120883,2.274078,1.993783,-0.053161,0,,
0.050773,0.537205,2.121324,-0.179591,0,,
0.07308,0.789841,2.185094,-0.053161,0,,
0.047586,0.537205,2.089439,-0.274413,0,,
0.057146,0.695103,1.961898,-0.242806,0,,
0.031652,1.295113,2.089439,-0.242806,0,,
0.053959,0.979318,2.408291,0.104876,0,,
0.092201,0.88458,2.376406,0.041661,0,,
0.136817,0.916159,2.312635,0.041661,0,,
0.13363,0.88458,2.663372,0.642202,0,,
0.149564,0.789841,2.28075,-0.053161,0,,
0.095388,0.568785,2.248865,-0.211198,0,,
0.104948,0.568785,2.503946,2.380609,0,,
0.114509,0.631944,2.153209,-0.211198,0,,
0.092201,0.474046,1.961898,-0.242806,0,,
0.082641,0.663523,2.472061,-0.337628,0,,
0.190992,1.231954,1.41985,-0.43245,0,,
0.136817,0.505626,2.153209,-0.179591,0,,
0.136817,0.663523,2.21698,-0.179591,0,,
0.120883,0.947739,1.802472,3.45526,0,,
0.104948,0.568785,2.21698,-0.147983,0,,
0.076267,0.568785,2.153209,-0.242806,0,,
0.085828,0.600364,2.089439,-0.211198,0,,
0.060333,0.22141,2.089439,-0.179591,0,,
0.06352,0.695103,1.930013,-0.590487,0,,
0.041212,0.695103,2.089439,-0.147983,0,,
0.053959,1.010898,2.408291,0.073268,0,,
0.082641,0.600364,2.185094,-0.053161,0,,
0.114509,0.821421,2.34452,-0.021554,0,,
0.104948,0.821421,2.089439,0.041661,0,,
0.130443,5.337289,2.089439,-0.211198,0,,
0.117696,0.631944,1.961898,-0.084769,0,,
0.124069,0.600364,2.248865,-0.147983,0,,
0.060333,0.474046,2.21698,-0.084769,0,,
0.07308,0.410887,2.121324,0.073268,0,,
0.124069,0.663523,2.121324,-0.43245,0,,
0.085828,0.631944,2.312635,-0.053161,0,,
0.13363,0.600364,2.153209,-0.084769,0,,
0.2133,7.642593,2.34452,0.041661,0,,
0.101762,0.631944,2.153209,-0.211198,0,,
0.060333,0.600364,2.185094,-0.179591,0,,
0.095388,0.726682,2.153209,-0.147983,0,,
0.101762,0.789841,3.715584,-0.147983,0,,
0.089014,0.631944,2.121324,-0.147983,0,,
0.066707,0.631944,2.153209,-0.147983,0,,
0.047586,0.600364,3.524273,-0.179591,0,,
0.044399,0.726682,2.440176,0.073268,0,,
0.190992,1.200375,1.930013,-0.55888,0,,
0.095388,0.695103,2.248865,0.104876,0,,
0.130443,0.947739,2.153209,-0.464057,0,,
0.114509,0.600364,2.121324,-0.116376,0,,
0.117696,0.663523,2.121324,-0.211198,0,,
0.085828,0.568785,2.185094,-0.242806,0,,
0.124069,0.821421,2.089439,-0.053161,0,,
0.114509,0.663523,2.185094,-0.179591,0,,
0.098575,0.537205,2.21698,-0.179591,0,,
0.117696,0.631944,2.21698,-0.179591,0,,
0.165498,0.600364,2.185094,-0.211198,0,,
0.120883,0.758262,2.153209,-0.179591,0,,
0.117696,0.568785,2.153209,-0.179591,0,,
0.22286,6.474151,1.069112,-1.917998,0,,
0.07308,0.568785,1.866242,-0.211198,0,,
0.066707,0.600364,2.089439,-0.242806,0,,
0.038025,0.663523,2.663372,-0.179591,0,,
0.095388,0.758262,2.376406,-0.43245,0,,
0.041212,0.631944,2.057554,-0.179591,0,,
0.066707,1.042477,2.567717,-0.053161,0,,
0.07308,0.821421,2.34452,0.073268,0,,
0.098575,2.11618,2.34452,-0.843346,0,,
0.098575,0.695103,2.21698,0.010054,0,,
0.114509,0.568785,2.248865,-0.147983,0,,
0.104948,0.600364,2.153209,-0.147983,0,,
0.101762,0.600364,2.248865,-0.116376,0,,
0.085828,0.631944,2.185094,-0.179591,0,,
0.149564,0.379308,2.185094,-0.147983,0,,
0.104948,0.568785,2.567717,-0.211198,0,,
0.127256,0.063513,2.248865,-0.084769,0,,
0.13363,0.537205,2.153209,-0.147983,0,,
0.095388,0.600364,2.21698,-0.084769,0,,
-0.000216,0.410887,1.611161,4.18223,0,,
0.092201,0.537205,2.599602,-0.179591,0,,
0.095388,0.600364,2.153209,1.179527,0,,
0.089014,0.568785,2.185094,-0.179591,0,,
0.034839,5.242551,2.025668,-0.337628,0,,
0.044399,0.505626,1.898128,2.886327,0,,
0.031652,0.600364,2.057554,-0.147983,0,,
0.047586,0.88458,2.663372,0.041661,0,,
0.101762,0.695103,2.376406,0.104876,0,,
0.114509,0.758262,2.312635,0.041661,0,,
0.152751,0.789841,2.312635,0.010054,0,,
0.117696,5.400448,2.057554,-0.242806,0,,
0.114509,0.568785,2.21698,-0.179591,0,,
0.117696,0.631944,2.248865,-0.116376,0,,
0.101762,-0.157544,2.121324,-0.274413,0,,
0.104948,0.474046,2.121324,-0.369235,0,,
0.069894,0.600364,2.408291,-0.274413,0,,
0.124069,0.600364,2.248865,-0.084769,0,,
0.14319,0.537205,2.153209,-0.147983,0,,
0.149564,0.537205,1.961898,2.254179,0,,
0.114509,0.600364,2.185094,-0.179591,0,,
0.2133,6.410992,1.196653,-1.88639,0,,
0.057146,0.505626,2.472061,-0.242806,0,,
0.331212,3.000406,2.28075,0.136483,0,,
0.044399,0.568785,1.993783,-0.179591,0,,
0.069894,0.663523,2.025668,-0.211198,0,,
0.057146,4.832017,2.248865,-0.116376,0,,
0.085828,0.947739,2.503946,0.073268,0,,
0.089014,0.853,2.472061,0.104876,0,,
0.025278,0.410887,5.724352,-0.590487,0,,
0.232421,1.168795,2.057554,-1.222635,0,,
0.079454,0.537205,2.567717,-0.147983,0,,
0.098575,0.600364,2.21698,-0.021554,0,,
0.114509,0.758262,2.28075,-0.116376,0,,
-0.048018,-0.220703,1.834357,-0.30602,0,,
0.092201,0.600364,2.185094,-0.179591,0,,
0.101762,0.158251,2.312635,-0.242806,0,,
0.2133,1.105636,2.663372,0.231305,0,,
0.101762,0.505626,2.121324,-0.147983,0,,
0.108135,1.421431,2.153209,-0.084769,0,,
0.111322,0.568785,2.185094,-0.179591,0,,
-0.044832,-0.252282,5.46927,-0.400843,0,,
0.136817,0.695103,2.121324,-0.179591,0,,
0.104948,0.663523,1.515505,0.231305,0,,
0.06352,0.568785,2.089439,-0.211198,0,,
0.053959,0.600364,2.089439,-0.179591,0,,
0.028465,0.600364,2.057554,-0.147983,0,,
0.315278,3.284622,2.535832,0.768631,0,,
0.089014,0.853,2.34452,1.748461,0,,
0.104948,0.695103,2.248865,-0.242806,0,,
0.108135,0.726682,2.248865,0.073268,0,,
0.140003,0.726682,2.28075,4.498304,0,,
0.098575,0.600364,2.153209,0.073268,0,,
0.117696,0.568785,2.121324,-0.242806,0,,
0.089014,0.663523,2.408291,-0.274413,0,,
0.111322,0.474046,2.599602,-0.179591,0,,
0.108135,0.442467,2.663372,-0.147983,0,,
0.155937,0.726682,2.21698,-0.053161,0,,
0.127256,0.537205,2.34452,-0.147983,0,,
0.866596,0.726682,1.930013,-0.30602,0,,
0.124069,0.600364,2.185094,-0.116376,0,,
0.104948,0.505626,2.153209,-0.242806,0,,
0.057146,0.505626,2.631487,-0.179591,0,,
0.066707,0.600364,2.089439,-0.179591,0,,
0.06352,0.537205,2.025668,1.780068,0,,
0.066707,0.631944,1.930013,-0.179591,0,,
0.066707,0.663523,2.153209,-0.211198,0,,
0.053959,0.88458,2.408291,-0.179591,0,,
0.079454,0.789841,2.34452,0.073268,0,,
0.101762,0.758262,2.376406,0.073268,0,,
0.127256,0.789841,2.440176,0.041661,0,,
0.130443,0.600364,2.121324,-0.084769,0,,
0.101762,0.568785,2.185094,-0.147983,0,,
