MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
,,,,,,,
0.085828,0.947739,2.408291,-0.211198,0,,,
0.219674,1.326693,2.440176,0.484165,0,,,96.633624
0.152751,1.010898,2.185094,-0.147983,0,,,
0.089014,0.947739,2.248865,-0.147983,0,,,
0.101762,0.947739,2.248865,-0.55888,0,,,
0.104948,1.105636,2.089439,-0.211198,0,,,
0.060333,0.979318,2.025668,-0.30602,0,,,
0.047586,0.853,1.961898,-0.30602,0,,,
0.053959,0.947739,2.057554,-0.211198,0,,,
-0.025711,0.442467,5.214188,0.073268,0,,,
0.034839,1.263534,2.34452,-0.021554,0,,,
0.181432,1.51617,2.950339,0.29452,0,,,
0.101762,1.263534,2.376406,0.041661,0,,,
0.13363,1.168795,2.312635,0.041661,0,,,
0.178245,1.231954,2.535832,0.104876,0,,,
0.108135,0.979318,2.248865,-0.147983,0,,,
0.108135,1.105636,3.269191,-0.147983,0,,,
0.079454,1.326693,2.185094,-0.242806,0,,,
0.108135,0.88458,2.153209,-0.147983,0,,,
0.140003,3.126724,2.248865,-0.021554,0,,,
0.092201,1.042477,2.408291,-0.147983,0,,,
0.092201,0.916159,2.472061,-0.084769,0,,,
0.13363,0.979318,2.34452,-0.179591,0,,,
0.117696,0.979318,2.248865,-0.495665,0,,,
0.076267,1.010898,2.185094,-0.179591,0,,,
0.095388,1.042477,2.153209,-0.179591,0,,,
0.092201,0.979318,2.153209,-0.211198,0,,,
0.053959,0.947739,3.364847,0.136483,0,,,
0.066707,0.947739,2.089439,-0.179591,0,,,
0.066707,1.105636,2.025668,-0.211198,0,,,
-0.0767,1.51617,5.596811,2.349001,0,,,
0.060333,0.979318,2.472061,0.073268,0,,,
0.098575,1.231954,2.408291,0.010054,0,,,
-0.038458,6.726787,2.057554,-0.874954,0,,,
0.101762,1.074057,2.472061,-0.053161,0,,,
0.095388,1.010898,2.185094,-0.084769,0,,,
0.108135,1.042477,2.34452,-0.147983,0,,,
0.114509,0.979318,2.121324,-0.179591,0,,,
0.092201,1.831965,2.153209,-0.084769,0,,,
0.079454,0.853,2.057554,-0.242806,0,,,
0.076267,0.537205,1.930013,-0.685309,0,,,
0.111322,1.010898,2.21698,-0.116376,0,,,
0.13363,0.88458,2.21698,-0.147983,0,,,
0.104948,0.947739,2.312635,-0.211198,0,,,
0.076267,0.916159,2.312635,-0.242806,0,,,
0.098575,0.947739,2.21698,-0.211198,0,,,
0.079454,0.916159,2.121324,-0.211198,0,,,
0.060333,1.137216,2.121324,-0.242806,0,,,
0.047586,0.947739,2.057554,-0.179591,0,,,
0.047586,1.295113,3.109765,0.547379,0,,,
0.025278,1.105636,2.21698,-0.021554,0,,,
0.028465,3.474099,2.472061,-0.021554,0,,,
0.098575,1.263534,2.28075,0.041661,0,,,
0.155937,5.810982,2.28075,0.104876,0,,,
0.111322,1.042477,2.248865,-0.084769,0,,,
0.082641,0.947739,2.121324,-0.179591,0,,,
0.095388,1.168795,2.185094,-0.30602,0,,,
0.140003,1.137216,2.28075,-0.116376,0,,,
0.101762,0.947739,2.21698,-0.211198,0,,,
0.047586,0.695103,1.834357,1.337564,0,,,
0.06352,0.821421,2.440176,-0.274413,0,,,
0.127256,1.074057,2.248865,-0.084769,0,,,
0.136817,1.042477,2.21698,-0.116376,0,,,
0.098575,3.631996,2.121324,-0.274413,0,,,
0.053959,0.947739,2.185094,-0.242806,0,,,
0.095388,0.947739,2.185094,-0.179591,0,,,
0.104948,0.947739,2.121324,-0.179591,0,,,
0.162311,1.105636,2.089439,-0.147983,0,,,
0.025278,0.916159,2.057554,-0.274413,0,,,
0.057146,0.979318,2.057554,-0.179591,0,,,
0.044399,0.695103,2.21698,-0.116376,0,,,
0.356706,3.947791,2.950339,0.199698,0,,,
-0.063952,0.505626,5.915663,0.705416,0,,,
0.114509,1.074057,2.21698,-0.147983,0,,,
0.108135,1.105636,2.312635,-0.053161,0,,,
0.130443,0.947739,2.153209,-0.242806,0,,,
0.092201,0.789841,2.089439,-0.653702,0,,,
0.076267,0.758262,2.34452,-0.274413,0,,,
0.111322,0.789841,2.312635,-0.084769,0,,,
0.114509,0.947739,1.993783,-0.242806,0,,,
