MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
,,,,
0.108135,1.642488,2.121324,-0.116376,0
0.098575,1.547749,2.185094,-0.211198,0
0.101762,1.579329,2.34452,-0.116376,0
0.127256,1.958283,2.34452,-0.084769,0
0.140003,2.589873,1.961898,-2.170857,0
0.085828,1.51617,2.248865,0.29452,0
0.085828,1.610908,2.312635,-0.147983,0
0.146377,1.674067,2.248865,-0.116376,0
0.136817,9.253147,2.248865,-0.242806,0
0.120883,1.610908,2.185094,-0.147983,0
0.089014,1.51617,2.21698,-0.179591,0
0.076267,1.51617,2.185094,0.578987,0
0.069894,1.610908,2.057554,-0.211198,0
0.066707,1.610908,2.089439,-0.179591,0
0.041212,1.642488,1.993783,-0.211198,0
0.079454,1.642488,2.057554,-0.242806,0
0.034839,1.831965,2.34452,0.073268,0
0.066707,1.895124,2.472061,0.041661,0
0.089014,1.705647,2.057554,-0.021554,0
0.098575,1.737226,2.312635,-0.021554,0
0.124069,1.642488,2.21698,-0.084769,0
0.130443,1.642488,2.21698,-0.400843,0
0.057146,1.547749,2.28075,-0.242806,0
0.066707,1.51617,2.21698,-0.179591,0
0.111322,1.642488,2.28075,-0.116376,0
0.108135,1.421431,2.21698,-0.211198,0
0.104948,1.737226,2.472061,-0.053161,0
0.13363,1.610908,2.248865,-0.147983,0
0.041212,6.947844,1.802472,-0.590487,0
0.114509,1.610908,2.248865,-0.179591,0
0.079454,1.51617,2.248865,-0.179591,0
0.089014,1.610908,2.28075,-0.179591,0
0.117696,1.674067,2.121324,-0.147983,0
0.06352,1.547749,2.153209,-0.242806,0
0.06352,1.579329,2.025668,-0.242806,0
0.06352,1.674067,1.993783,-0.685309,0
0.047586,1.800385,2.248865,-0.053161,0
0.07308,1.895124,2.503946,0.073268,0
0.108135,1.831965,2.28075,0.073268,0
0.101762,1.705647,2.34452,-0.021554,0
0.111322,1.642488,2.025668,-0.116376,0
0.124069,2.337237,2.21698,-0.337628,0
0.057146,1.51617,2.248865,-0.179591,0
0.111322,1.547749,2.408291,-0.242806,0
0.082641,1.48459,2.089439,-1.001383,0
0.092201,1.579329,2.34452,-0.211198,0
0.098575,1.705647,2.376406,-0.147983,0
0.127256,1.579329,2.21698,-0.147983,0
0.165498,1.51617,3.364847,-0.084769,0
0.108135,1.547749,2.121324,-0.147983,0
0.114509,5.368869,2.440176,0.041661,0
0.07308,1.547749,4.385173,0.073268,0
0.06352,1.610908,2.185094,-0.147983,0
0.066707,1.642488,2.121324,-0.147983,0
0.057146,1.610908,2.089439,-0.179591,0
0.047586,1.610908,1.993783,-0.274413,0
0.050773,1.800385,2.312635,-0.021554,0
0.130443,2.305657,2.599602,0.136483,0
0.101762,1.831965,2.34452,0.073268,0
0.108135,1.705647,2.376406,-0.084769,0
0.076267,1.831965,2.822798,0.578987,0
0.146377,1.453011,2.503946,-0.590487,0
0.117696,1.642488,2.34452,-0.053161,0
0.076267,1.51617,2.440176,-0.084769,0
0.089014,1.674067,2.185094,-0.179591,0
0.108135,1.642488,2.408291,-0.211198,0
0.117696,1.737226,2.312635,-0.116376,0
0.324838,1.579329,3.173536,1.843283,0
0.178245,1.642488,2.408291,-0.211198,0
0.104948,1.642488,2.121324,-0.716917,0
0.098575,1.579329,2.153209,0.326128,0
0.101762,1.610908,2.185094,-0.211198,0
0.101762,1.610908,2.153209,-0.179591,0
0.149564,7.295218,1.324194,-1.254242,0
0.175058,1.737226,2.34452,0.041661,0
0.041212,1.642488,2.057554,-0.211198,0
0.009344,1.831965,2.28075,-0.053161,0
0.082641,1.926703,2.408291,0.041661,0
0.104948,1.800385,2.376406,0.010054,0
0.140003,1.768806,2.408291,0.010054,0
0.095388,1.610908,2.28075,-0.084769,0
0.098575,1.51617,2.089439,-0.179591,0
0.07308,1.51617,2.21698,-0.147983,0
0.104948,1.705647,2.440176,-0.116376,0
0.127256,1.547749,2.503946,-0.337628,0
0.098575,1.642488,2.28075,-0.242806,0
0.092201,1.610908,2.34452,-0.084769,0
0.140003,1.674067,2.21698,-0.084769,0
0.155937,1.579329,2.918454,-0.274413,0
0.120883,1.610908,2.21698,-0.179591,0
0.124069,1.610908,2.21698,-0.179591,0
0.104948,1.800385,1.898128,-0.211198,0
0.066707,1.453011,1.579276,-0.179591,0
0.07308,1.642488,2.121324,-0.211198,0
0.050773,1.610908,2.057554,-0.274413,0
0.053959,1.674067,1.961898,-0.211198,0
0.06352,1.895124,2.376406,-0.053161,0
0.041212,1.895124,2.472061,-0.084769,0
0.089014,1.768806,2.408291,0.073268,0
0.114509,1.768806,2.34452,0.073268,0
0.13363,1.674067,2.248865,-0.147983,0
0.092201,1.579329,2.153209,-0.211198,0
0.098575,1.579329,2.34452,-0.179591,0
0.114509,1.547749,2.34452,0.010054,0
0.104948,1.547749,2.34452,-0.211198,0
0.104948,1.48459,2.567717,-0.30602,0
0.197366,2.11618,1.930013,1.242742,0
0.13363,1.958283,2.28075,-0.084769,0
0.108135,1.042477,1.802472,-0.527272,0
0.101762,1.51617,3.906895,-0.179591,0
0.104948,1.547749,2.21698,-0.147983,0
0.098575,1.674067,2.153209,-0.147983,0
0.117696,3.347781,2.185094,0.136483,0
0.06352,1.800385,2.153209,-0.179591,0
0.031652,1.547749,1.993783,-0.179591,0
0.041212,1.642488,2.057554,-0.242806,0
0.034839,1.863544,2.34452,0.041661,0
0.06352,1.989862,2.472061,0.073268,0
0.089014,5.779402,2.28075,-0.116376,0
0.108135,1.610908,2.34452,3.170794,0
0.07308,1.800385,3.843125,-0.021554,0
0.140003,1.705647,3.205421,-0.369235,0
0.124069,1.800385,2.025668,-0.211198,0
0.085828,3.063565,2.21698,-0.147983,0
0.098575,1.863544,2.185094,-0.211198,0
0.066707,1.421431,2.21698,0.010054,0
0.108135,1.768806,2.599602,-0.084769,0
0.146377,1.610908,2.248865,-0.053161,0
0.149564,1.579329,2.28075,-0.147983,0
0.108135,1.48459,2.153209,-0.116376,0
0.066707,1.547749,2.153209,-0.242806,0
0.101762,1.610908,2.185094,-0.211198,0
0.089014,1.610908,2.121324,-0.179591,0
0.484179,2.337237,3.779354,2.72829,0
0.047586,1.358272,2.025668,-0.179591,0
0.050773,1.674067,1.993783,-0.053161,0
0.053959,1.895124,2.21698,-0.021554,0
0.079454,1.895124,2.408291,-0.053161,0
0.104948,1.863544,2.34452,0.073268,0
0.165498,1.989862,2.440176,2.60186,0
0.114509,8.779455,2.057554,-0.30602,0
0.104948,1.610908,2.153209,-0.116376,0
0.149564,1.800385,2.34452,-0.211198,0
0.117696,1.737226,2.408291,-0.211198,0
