MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
,,,,,,,,,
0.082641,0.916159,2.153209,-0.30602,0,,,,,
0.060333,0.947739,2.185094,-0.211198,0,,,,,
-0.003403,1.295113,1.802472,-0.590487,0,,,,,82.738644
0.060333,1.074057,2.121324,-0.179591,0,,,,,
0.066707,1.074057,1.993783,-0.179591,0,,,,,
0.120883,1.358272,4.002551,0.231305,0,,,,,
0.069894,2.14776,2.025668,-0.242806,0,,,,,
0.031652,1.263534,1.993783,-0.084769,0,,,,,
0.053959,1.231954,2.472061,0.041661,0,,,,,
0.057146,1.231954,2.408291,-0.021554,0,,,,,
0.111322,1.137216,2.21698,-0.021554,0,,,,,
0.120883,1.042477,2.472061,-0.116376,0,,,,,
0.124069,1.042477,2.153209,-0.147983,0,,,,,
0.101762,1.010898,2.440176,-0.242806,0,,,,,
0.101762,1.010898,2.185094,-0.30602,0,,,,,
0.104948,0.821421,2.28075,-0.400843,0,,,,,
0.108135,2.305657,2.185094,-0.211198,0,,,,,
0.092201,1.074057,2.408291,-0.147983,0,,,,,
-0.000216,0.631944,1.770587,-0.369235,0,,,,,
0.130443,0.947739,2.21698,-0.211198,0,,,,,
0.117696,1.010898,2.248865,-0.811739,0,,,,,
0.098575,1.010898,2.121324,-0.242806,0,,,,,
0.053959,0.916159,3.81124,-0.274413,0,,,,,
0.171871,3.821473,2.057554,-0.211198,0,,,,,
0.053959,0.947739,2.025668,-0.211198,0,,,,,
0.025278,1.042477,1.961898,-0.242806,0,,,,,
-0.000216,1.010898,2.089439,-0.179591,0,,,,,
0.028465,1.263534,2.34452,0.357735,0,,,,,
0.270663,1.200375,2.535832,0.199698,0,,,,,
0.120883,1.168795,2.503946,0.073268,0,,,,,
0.206926,3.600417,3.87501,2.00132,0,,,,,
0.117696,0.789841,1.866242,-0.179591,0,,,,,
0.092201,0.916159,2.089439,-0.179591,0,,,,,
0.108135,1.074057,2.185094,-0.242806,0,,,,,
0.092201,1.010898,2.185094,0.010054,0,,,,,
0.104948,0.789841,2.057554,-0.30602,0,,,,,
0.101762,1.042477,2.34452,-0.211198,0,,,,,
0.092201,1.010898,2.28075,-0.495665,0,,,,,
0.098575,0.947739,2.440176,3.960979,0,,,,,
0.127256,0.947739,2.185094,-0.179591,0,,,,,
0.101762,1.042477,2.153209,-0.211198,0,,,,,
0.082641,0.979318,2.248865,-0.211198,0,,,,,
0.085828,2.463555,2.121324,-0.242806,0,,,,,
0.047586,0.947739,2.089439,-0.242806,0,,,,,
0.041212,1.010898,2.21698,-0.179591,0,,,,,
0.028465,0.947739,1.961898,-0.274413,0,,,,,
0.041212,0.947739,2.089439,-0.211198,0,,,,,
0.044399,1.231954,2.535832,0.010054,0,,,,,
0.066707,1.231954,2.503946,-0.021554,0,,,,,
0.104948,1.168795,2.248865,-0.053161,0,,,,,
0.108135,1.200375,2.408291,0.041661,0,,,,,
-0.032084,0.789841,1.993783,-0.211198,0,,,,,
0.085828,0.947739,2.695258,-0.053161,0,,,,,
0.095388,1.074057,2.185094,-0.211198,0,,,,,
0.082641,1.010898,2.408291,-0.179591,0,,,,,
0.098575,0.947739,2.376406,-0.211198,0,,,,,
0.082641,1.010898,2.472061,-0.337628,0,,,,,
0.079454,1.421431,2.312635,1.211135,0,,,,,
0.516047,3.474099,3.301076,0.578987,0,,,,,
0.124069,0.947739,2.153209,-0.274413,0,,,,,
0.101762,0.979318,2.185094,-0.274413,0,,,,,
0.079454,0.947739,2.21698,-0.211198,0,,,,,
0.053959,0.947739,2.089439,-0.242806,0,,,,,
0.044399,0.916159,2.121324,-0.211198,0,,,,,
0.025278,0.88458,2.21698,-0.242806,0,,,,,
0.018905,0.916159,1.993783,0.262913,0,,,,,
0.87297,1.200375,1.961898,-0.400843,0,,,,,
0.047586,1.231954,2.312635,-0.053161,0,,,,,
0.060333,1.200375,2.472061,0.041661,0,,,,,
0.079454,1.168795,2.312635,-0.021554,0,,,,,
0.111322,1.137216,2.376406,0.010054,0,,,,,
0.098575,1.137216,2.312635,-0.084769,0,,,,,
0.104948,0.979318,1.738702,-0.464057,0,,,,,
0.104948,0.916159,2.21698,-0.211198,0,,,,,
0.104948,0.916159,2.34452,-0.179591,0,,,,,
0.136817,0.821421,1.41985,-0.337628,0,,,,,
0.092201,1.010898,2.376406,-0.30602,0,,,,,
0.095388,1.105636,4.098206,-0.179591,0,,,,,
0.194179,0.600364,5.46927,-0.242806,0,,,,,
0.101762,0.916159,2.28075,-0.147983,0,,,,,
0.108135,0.979318,2.185094,-0.211198,0,,,,,
0.308904,2.74777,2.567717,-0.43245,0,,,,,
0.098575,1.105636,2.21698,-0.211198,0,,,,,
0.082641,1.010898,2.185094,-0.211198,0,,,,,
0.07308,0.947739,2.089439,-0.211198,0,,,,,
0.041212,1.042477,2.025668,-0.211198,0,,,,,
0.044399,1.074057,2.089439,-0.242806,0,,,,,
-0.003403,1.168795,2.34452,-0.053161,0,,,,,
0.066707,1.453011,2.408291,0.010054,0,,,,,
0.092201,1.168795,2.34452,-0.053161,0,,,,,
0.117696,1.074057,2.34452,-0.053161,0,,,,,
0.136817,1.137216,2.248865,-0.021554,0,,,,,
